Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.2-10.0.2.15-80-58066-6,10.0.2.15,58066,10.0.2.2,80,6,16/08/2021 07:05:49 PM,18519,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,61504.40088557697,431.9887682920244,2645.571428571429,2374.3125220536895,7817.0,976.0,14640.0,4880.0,6740.287308416459,12663.0,976.0,14624.0,4874.666666666667,2933.5398980299096,7817.0,1950.0,0,0,0,0,128,144,215.9943841460122,215.9943841460122,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58068-6,10.0.2.15,58068,10.0.2.2,80,6,16/08/2021 07:05:54 PM,16592,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,68647.54098360657,482.1600771456124,2370.285714285714,2511.0051582507563,7808.0,0.0,12689.0,4229.666666666667,6499.10396388097,11713.0,0.0,13663.0,4554.333333333333,2982.493308179137,7808.0,1950.0,0,0,0,0,128,144,241.0800385728062,241.0800385728062,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58070-6,10.0.2.15,58070,10.0.2.2,80,6,16/08/2021 07:05:59 PM,17553,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,64889.19273058737,455.7625477126417,2507.571428571429,2244.7393952040297,6831.0,0.0,13667.0,4555.666666666667,7062.285772562119,12691.0,0.0,12669.0,4223.0,2463.6363367997315,6831.0,1935.0,0,0,0,0,128,144,227.88127385632086,227.88127385632086,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58072-6,10.0.2.15,58072,10.0.2.2,80,6,16/08/2021 07:06:05 PM,16590,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,68655.81675708258,482.21820373719106,2370.0,2446.8222929614917,7809.0,950.0,13663.0,4554.333333333333,6189.272520525602,11701.0,950.0,13695.0,4565.0,2979.3818150750667,7809.0,1951.0,0,0,0,0,128,144,241.10910186859553,241.10910186859553,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58074-6,10.0.2.15,58074,10.0.2.2,80,6,16/08/2021 07:06:10 PM,17569,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,64830.09846889407,455.3474870510558,2509.857142857143,2810.839342531659,8792.0,977.0,13665.0,4555.0,6196.411784250624,11710.0,977.0,14679.0,4893.0,3510.5855636916185,8792.0,1983.0,0,0,0,0,128,144,227.6737435255279,227.6737435255279,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58076-6,10.0.2.15,58076,10.0.2.2,80,6,16/08/2021 07:06:15 PM,17515,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,65029.97430773623,456.7513559805881,2502.142857142857,2835.1846164798176,8702.0,0.0,13616.0,4538.666666666667,7042.035950869133,12651.0,0.0,14586.0,4862.0,3471.199360451658,8702.0,1947.0,0,0,0,0,128,144,228.37567799029404,228.37567799029404,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58078-6,10.0.2.15,58078,10.0.2.2,80,6,16/08/2021 07:06:20 PM,15619,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,72924.00281708177,512.1966835264742,2231.285714285714,2161.8331506914615,6833.0,0.0,11715.0,3905.0,5937.680439363507,10738.0,0.0,12689.0,4229.666666666667,2444.2062788016347,6833.0,1984.0,0,0,0,0,128,144,256.0983417632371,256.0983417632371,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58080-6,10.0.2.15,58080,10.0.2.2,80,6,16/08/2021 07:06:25 PM,17567,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,64837.47936471794,455.3993282859908,2509.5714285714284,2868.119352301717,8785.0,955.0,14602.0,4867.333333333333,6756.444651836744,12669.0,960.0,13665.0,4555.0,3944.6221618806535,8785.0,977.0,0,0,0,0,128,144,227.6996641429954,227.6996641429954,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58082-6,10.0.2.15,58082,10.0.2.2,80,6,16/08/2021 07:06:30 PM,23421,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,48631.56995858417,341.57380128944106,3345.857142857143,2974.1296445947246,8783.0,0.0,18546.0,6182.0,6350.2022015050825,12688.0,0.0,15612.0,5204.0,3138.232464302159,8783.0,2923.0,0,0,0,0,128,144,170.78690064472053,170.78690064472053,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58084-6,10.0.2.15,58084,10.0.2.2,80,6,16/08/2021 07:06:35 PM,20499,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,55563.68603346505,390.26293965559296,2928.428571428571,3946.286265048988,11713.0,939.0,17535.0,5845.0,8431.623331245295,15581.0,977.0,16593.0,5531.0,5550.327828155739,11713.0,976.0,0,0,0,0,128,144,195.13146982779648,195.13146982779648,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
