Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-49571-80-6,10.0.0.2,80,10.128.0.2,49571,6,05/08/2018 07:08:08 PM,123466,10,12,10988.0,373.0,1408.0,0.0,1098.8,585.4777346558772,373.0,0.0,31.083333333333332,107.67582520386519,92017.23551423063,178.18670727163752,5879.333333333334,26604.506421531918,121990.0,3.0,1367.0,151.88888888888889,137.0277749622722,478.0,9.0,123463.0,11223.909090909088,36906.81772912572,122502.0,13.0,0,0,0,0,320,332,80.99395785074434,97.1927494208932,0.0,1408.0,493.9565217391304,663.529164821841,440270.95256917,0,1,0,0,1,0,0,0,1.0,516.4090909090909,1098.8,31.083333333333332,0,0,0,0,0,0,10,10988,12,373,-1,0,8,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49572-80-6,10.128.0.2,49572,10.0.0.2,80,6,05/08/2018 07:08:08 PM,242816,11,12,373.0,10988.0,373.0,0.0,33.90909090909091,112.46373152750583,1408.0,0.0,915.6666666666666,680.7300003182858,46788.5147601476,94.72192936215076,11037.090909090908,35484.02242983264,120694.0,3.0,122118.0,12211.800000000001,38300.954214396974,121218.0,18.0,242816.0,22074.181818181813,48774.71222020317,120811.0,14.0,0,0,0,0,304,400,45.30179230363732,49.42013705851344,0.0,1408.0,473.37499999999994,656.7306252417615,431295.1141304349,0,1,0,0,0,0,0,0,1.0,493.95652173913044,33.90909090909091,915.6666666666666,0,0,0,0,0,0,11,373,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49573-80-6,10.128.0.2,49573,10.0.0.2,80,6,05/08/2018 07:08:08 PM,244857,11,12,339.0,10988.0,339.0,0.0,30.818181818181817,102.21234581186187,1408.0,0.0,915.6666666666666,680.7300003182858,46259.65359373022,93.93237685669595,11129.863636363636,35825.80846965396,121863.0,3.0,123023.0,12302.299999999997,38635.57983704198,122261.0,31.0,244857.0,22259.727272727272,49252.21014348678,121985.0,13.0,0,0,0,0,292,400,44.92418023581111,49.008196620884846,0.0,1408.0,471.95833333333337,656.9931823593504,431640.0416666667,0,1,0,0,0,0,0,0,1.0,492.4782608695652,30.818181818181817,915.6666666666666,0,0,0,0,0,0,11,339,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49574-80-6,10.128.0.2,49574,10.0.0.2,80,6,05/08/2018 07:08:09 PM,245065,11,12,339.0,10988.0,339.0,0.0,30.818181818181817,102.21234581186187,1408.0,0.0,915.6666666666666,680.7300003182858,46220.390508640565,93.85265133740027,11139.318181818178,35796.95886043735,122043.0,4.0,122958.0,12295.799999999996,38576.72069698685,122087.0,7.0,245065.0,22278.63636363636,49204.57249539463,122043.0,15.0,0,0,0,0,304,400,44.88605063962622,48.96660069777406,0.0,1408.0,471.95833333333337,656.9931823593504,431640.0416666667,0,1,0,0,0,0,0,0,1.0,492.4782608695652,30.818181818181817,915.6666666666666,0,0,0,0,0,0,11,339,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49575-80-6,10.128.0.2,49575,10.0.0.2,80,6,05/08/2018 07:08:09 PM,246037,11,12,368.0,10988.0,368.0,0.0,33.45454545454545,110.956174804617,1408.0,0.0,915.6666666666666,680.7300003182858,46155.65951462585,93.48187467738592,11183.5,35957.60118826457,122373.0,6.0,123616.0,12361.599999999999,38782.023427814536,122737.0,26.0,246037.0,22367.000000000004,49421.9958156285,122373.0,13.0,0,0,0,0,280,400,44.70872267179327,48.77315200559266,0.0,1408.0,473.16666666666663,656.7646436140188,431339.7971014492,0,1,0,0,0,0,0,0,1.0,493.7391304347826,33.45454545454545,915.6666666666666,0,0,0,0,0,0,11,368,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49576-80-6,10.128.0.2,49576,10.0.0.2,80,6,05/08/2018 07:08:09 PM,246602,10,11,368.0,10988.0,368.0,0.0,36.8,116.37181789419635,2816.0,0.0,998.9090909090909,902.6398456245387,46049.91038191094,85.15746019902515,12330.099999999999,37657.40799546408,122610.0,3.0,123938.0,13770.888888888889,40910.76475832627,122866.0,15.0,246602.0,24660.199999999993,51562.955384224784,122610.0,14.0,0,0,0,0,260,368,40.55117152334531,44.60628867567984,0.0,2816.0,516.1818181818181,798.7270608592887,637964.9177489178,0,1,0,0,0,0,0,0,1.0,540.7619047619048,36.8,998.9090909090909,0,0,0,0,0,0,10,368,11,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49577-80-6,10.128.0.2,49577,10.0.0.2,80,6,05/08/2018 07:08:09 PM,246312,11,12,328.0,10988.0,328.0,0.0,29.818181818181817,98.89572102150646,1408.0,0.0,915.6666666666666,680.7300003182858,45941.73243690928,93.37750495306766,11196.000000000002,36021.823108988225,122562.0,6.0,123853.0,12385.300000000001,38908.92697069801,123122.0,20.0,246312.0,22392.0,49512.48202625274,122658.0,20.0,0,0,0,0,304,400,44.65880671668453,48.718698236383126,0.0,1408.0,471.5,657.0937991410093,431772.2608695651,0,1,0,0,0,0,0,0,1.0,492.0,29.818181818181817,915.6666666666666,0,0,0,0,0,0,11,328,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49578-80-6,10.128.0.2,49578,10.0.0.2,80,6,05/08/2018 07:08:10 PM,244816,11,12,328.0,10988.0,328.0,0.0,29.818181818181817,98.89572102150646,1408.0,0.0,915.6666666666666,680.7300003182858,46222.46911966538,93.94810796679955,11127.999999999998,35789.30212467726,121874.0,6.0,122886.0,12288.6,38590.13657860718,122118.0,37.0,244816.0,22255.999999999993,49192.85120218181,121874.0,17.0,0,0,0,0,292,400,44.93170381020848,49.01640415659107,0.0,1408.0,471.5,657.0937991410094,431772.26086956525,0,1,0,0,0,0,0,0,1.0,492.0,29.818181818181817,915.6666666666666,0,0,0,0,0,0,11,328,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49579-80-6,10.128.0.2,49579,10.0.0.2,80,6,05/08/2018 07:08:10 PM,245795,11,12,323.0,10988.0,323.0,0.0,29.36363636363636,97.38816429861764,1408.0,0.0,915.6666666666666,680.7300003182858,46018.02314937244,93.57391322036656,11172.5,35918.14540597499,122275.0,3.0,123477.0,12347.7,38753.486260521706,122642.0,36.0,245795.0,22344.999999999996,49364.67932439144,122275.0,13.0,0,0,0,0,292,400,44.7527411053927,48.821172114973855,0.0,1408.0,471.2916666666667,657.1420651887837,431835.69384057965,0,1,0,0,0,0,0,0,1.0,491.7826086956522,29.363636363636363,915.6666666666666,0,0,0,0,0,0,11,323,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49580-80-6,10.128.0.2,49580,10.0.0.2,80,6,05/08/2018 07:08:10 PM,245752,11,12,323.0,10988.0,323.0,0.0,29.36363636363636,97.38816429861764,1408.0,0.0,915.6666666666666,680.7300003182858,46026.075067547776,93.59028614212703,11170.545454545456,35932.65608610916,122346.0,6.0,123365.0,12336.5,38731.7639448267,122569.0,25.0,245752.0,22341.090909090908,49387.08183615336,122346.0,21.0,0,0,0,0,304,400,44.760571633191184,48.82971450893584,0.0,1408.0,471.29166666666674,657.1420651887837,431835.6938405797,0,1,0,0,0,0,0,0,1.0,491.7826086956522,29.363636363636363,915.6666666666666,0,0,0,0,0,0,11,323,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49608-80-6,10.128.0.2,49608,10.0.0.2,80,6,05/08/2018 07:08:17 PM,120954,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80281760007937,60477.0,85463.75400133088,120909.0,45.0,0,0,0,0,0,120909.0,120909.0,0.0,120909.0,120909.0,0,0,0,0,20,52,8.267605866693122,16.535211733386245,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,235,0,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49609-80-6,10.128.0.2,49609,10.0.0.2,80,6,05/08/2018 07:08:17 PM,122725,2,2,370.0,0.0,370.0,0.0,185.0,261.6295090390226,0.0,0.0,0.0,0.0,3014.870645752699,32.59319617029945,40908.33333333333,70774.7733470997,122632.0,30.0,63.0,63.0,0.0,63.0,63.0,122632.0,122632.0,0.0,122632.0,122632.0,0,0,0,0,64,80,16.296598085149725,16.296598085149725,0.0,370.0,74.0,165.46903033498444,27380.0,0,1,0,0,0,0,0,0,1.0,92.5,185.0,0.0,0,0,0,0,0,0,2,370,2,0,-1,28960,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49581-80-6,10.128.0.2,49581,10.0.0.2,80,6,05/08/2018 07:08:10 PM,242618,11,12,325.0,10988.0,325.0,0.0,29.545454545454547,97.99118698777316,1408.0,0.0,915.6666666666666,680.7300003182858,46628.856886133755,94.79923171405254,11028.090909090906,35453.48790136584,120757.0,6.0,121820.0,12182.0,38212.62954399588,120937.0,38.0,242618.0,22056.181818181813,48725.30214748428,120757.0,17.0,0,0,0,0,292,400,45.33876299367731,49.46046872037524,0.0,1408.0,471.375,657.1225689718578,431810.070652174,0,1,0,0,0,0,0,0,1.0,491.8695652173913,29.545454545454547,915.6666666666666,0,0,0,0,0,0,11,325,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49582-80-6,10.128.0.2,49582,10.0.0.2,80,6,05/08/2018 07:08:11 PM,243966,11,12,325.0,10988.0,325.0,0.0,29.545454545454547,97.99118698777316,1408.0,0.0,915.6666666666666,680.7300003182858,46371.215661198694,94.27543182246707,11089.363636363634,35669.04844011649,121315.0,7.0,122599.0,12259.900000000003,38490.23621199999,121805.0,31.0,243966.0,22178.72727272727,49030.02039177816,121378.0,20.0,0,0,0,0,304,400,45.08825000204947,49.1871818204176,0.0,1408.0,471.375,657.1225689718578,431810.070652174,0,1,0,0,0,0,0,0,1.0,491.8695652173913,29.545454545454547,915.6666666666666,0,0,0,0,0,0,11,325,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
