Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.3-192.168.1.90-64738-35018-6,192.168.1.3,64738,192.168.1.90,35018,6,01/01/1970 09:08:21 AM,115672475,67,93,4128.0,1625.0,148.0,30.0,61.61194029850744,28.205391287719294,66.0,0.0,17.473118279569896,29.085926448104644,49.73525464895603,1.3832158428355579,727499.8427672955,1271267.0515914552,4996942.0,416.0,1.15517169E8,1750260.1363636362,1457699.6197360351,4999671.0,1189.0,1.15672475E8,1257309.5108695657,1462024.6445933827,4996942.0,873.0,0,1,0,0,2144,2976,0.5792216341873898,0.803994208648168,0.0,148.0,35.987577639751514,35.90212173006628,1288.9623447204972,0,0,0,1,1,0,0,0,1.0,36.2125,61.61194029850746,17.473118279569892,0,0,0,0,0,0,67,4128,93,1625,-1,502,67,0,0,0,0,0,0,0,0,0,No Label
136.162.16.0-255.255.255.1-0-0-0,136.162.16.0,0,255.255.255.1,0,0,01/01/1970 09:08:21 AM,102412118,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976446947420812,1.1379124222222222E7,1.6229504356171476E7,3.7625485E7,429.0,1.02408398E8,1.280104975E7,1.674002771078348E7,3.7625485E7,429.0,0,0,0,0,0,0,0,0,0,0,0,0.08788022526787308,0.00976446947420812,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,3347710.5,1723.2192257516162,3348929.0,3346492.0,3.1905565666666668E7,9906391.56983088,3.7625485E7,2.046665E7,No Label
192.168.1.3-192.168.1.90-64738-40197-17,192.168.1.90,40197,192.168.1.3,64738,17,01/01/1970 09:08:22 AM,119994932,24,26,240.0,260.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4.166842646321096,0.4166842646321096,2448876.163265306,2524932.5774924937,5004718.0,276.0,1.14990159E8,4999572.130434782,2958.6785948575584,5005058.0,4994160.0,1.19994932E8,4799797.279999999,999900.5805324481,5005027.0,296.0,0,0,0,0,192,208,0.2000084470234126,0.216675817608697,10.0,10.0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,10.2,10.0,10.0,0,0,0,0,0,0,24,240,26,260,-1,-1,24,0,8330280.0,6612586.321135892,1.9996438E7,276.0,5002455.111111111,1710.994626266002,5004718.0,5000260.0,No Label
192.168.1.3-192.168.1.90-64738-55832-6,192.168.1.90,55832,192.168.1.3,64738,6,01/01/1970 09:09:25 AM,116235811,104,71,3960.0,7303.0,523.0,0.0,38.07692307692307,80.07420009302444,1348.0,0.0,102.8591549295775,166.5065675045066,96.89784846083278,1.5055601066008824,668021.9022988505,1406318.6047682983,8005078.0,14.0,1.16232694E8,1128472.7572815532,1683185.3350340468,8008502.0,14.0,1.16232587E8,1660465.528571429,1817025.9959409041,8007499.0,80.0,0,0,0,0,3328,2288,0.8947328633513815,0.6108272432495008,0.0,1348.0,63.99431818181815,126.09137263606408,15899.034253246768,0,1,0,0,0,0,0,0,0.0,64.36,38.07692307692308,102.85915492957747,0,0,0,0,0,0,104,3960,71,7303,-1,502,39,0,1.1880922666666668E7,1.067972097267206E7,2.5041356E7,2014344.0,5987236.5,1095271.2869846905,8005078.0,5001157.0,No Label
192.168.1.3-192.168.1.90-64738-35018-6,192.168.1.3,64738,192.168.1.90,35018,6,01/01/1970 09:10:21 AM,117261021,72,98,5347.0,1654.0,156.0,30.0,74.2638888888889,31.88491323033184,70.0,0.0,16.87755102040816,28.991383471475682,59.70440936208461,1.4497571192050256,693852.1952662716,1152480.4842771653,5003397.0,326.0,1.16726985E8,1644042.042253521,1271490.7032008355,5006477.0,1226.0,1.17261021E8,1208876.5051546388,1304556.1125300846,5003397.0,1517.0,0,1,0,0,2304,3136,0.6140147798985991,0.8357423393064265,0.0,156.0,41.35087719298246,41.38932423935807,1713.0761609907136,0,0,0,1,1,0,0,0,1.0,41.59411764705882,74.26388888888889,16.877551020408163,0,0,0,0,0,0,72,5347,98,1654,-1,502,72,0,4.5525575E7,0.0,4.5525575E7,4.5525575E7,5003397.0,0.0,5003397.0,5003397.0,No Label
136.162.16.0-255.255.255.1-0-0-0,136.162.16.0,0,255.255.255.1,0,0,01/01/1970 09:10:24 AM,102414992,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09764195460758324,1.1379443555555556E7,1.622877638877374E7,3.7626258E7,2003.0,1.02408667E8,1.2801083375E7,1.6739470723523907E7,3.7626258E7,2003.0,0,0,0,0,0,0,0,0,0,0,0,0.08787775914682491,0.009764195460758324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,3350295.5,1446.0333675264897,3351318.0,3349273.0,3.1904800333333332E7,9907633.23390679,3.7626258E7,2.0464451E7,No Label
192.168.1.3-192.168.1.90-64738-40197-17,192.168.1.90,40197,192.168.1.3,64738,17,01/01/1970 09:10:27 AM,119994371,24,26,240.0,260.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4.1668621272242845,0.41668621272242845,2448864.714285714,2524899.842839604,5006116.0,278.0,1.14989991E8,4999564.826086958,2699.113333404254,5006468.0,4995350.0,1.19994371E8,4799774.839999998,999898.9202942669,5006463.0,278.0,0,0,0,0,192,208,0.20000938210676567,0.21667683061566279,10.0,10.0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,10.2,10.0,10.0,0,0,0,0,0,0,24,240,26,260,-1,-1,24,0,1.4162342166666666E7,1.241356043697397E7,2.9991395E7,278.0,5003281.833333334,2082.841176534304,5006116.0,5000340.0,No Label
192.168.1.3-192.168.1.90-64738-55832-6,192.168.1.90,55832,192.168.1.3,64738,6,01/01/1970 09:11:25 AM,119398560,104,69,2597.0,5023.0,143.0,0.0,24.97115384615385,38.16277267276565,254.0,30.0,72.79710144927537,41.10695508281698,63.81986516420298,1.4489286972975217,694177.6744186046,1217008.9345778457,5973655.0,384.0,1.19395859E8,1159183.0970873786,1394112.8117972678,5973655.0,1715.0,1.19395239E8,1755812.3382352935,1379681.510057061,5977574.0,422.0,0,1,0,0,3328,2208,0.8710322804563136,0.5778964168412081,0.0,254.0,44.057471264367805,45.60419216148315,2079.742342701481,0,0,0,1,1,0,0,0,0.0,44.3121387283237,24.971153846153847,72.79710144927536,0,0,0,0,0,0,104,2597,69,5023,-1,502,36,0,4.3679731E7,1.360940420321213E7,5.3303033E7,3.4056429E7,5531882.5,624760.6609834682,5973655.0,5090110.0,No Label
192.168.1.3-192.168.1.90-64738-35018-6,192.168.1.3,64738,192.168.1.90,35018,6,01/01/1970 09:12:22 AM,119992345,74,99,4869.0,1680.0,254.0,30.0,65.79729729729729,38.02882098451183,69.0,0.0,16.969696969696965,29.35373791357878,54.57848165230874,1.4417586388531702,697629.9127906975,1191106.9022839298,5000943.0,309.0,1.19987694E8,1643667.0410958906,1343274.26157122,5004107.0,3543.0,1.19992345E8,1224411.6836734696,1362247.1800953997,5000943.0,2128.0,0,1,0,0,2368,3168,0.6167060073707202,0.82505263148245,0.0,254.0,38.01724137931034,41.06676843632417,1686.4794698026708,0,0,0,1,1,0,0,0,1.0,38.23699421965318,65.79729729729729,16.96969696969697,0,0,0,0,0,0,74,4869,99,1680,-1,502,74,0,3.74967705E7,1.767475695683198E7,4.9994711E7,2.499883E7,5000681.0,370.5239533417509,5000943.0,5000419.0,No Label
136.162.16.0-255.255.255.1-0-0-0,136.162.16.0,0,255.255.255.1,0,0,01/01/1970 09:12:27 AM,102415936,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09764105461087617,1.1379548444444446E7,1.622978505862275E7,3.7627888E7,536.0,1.02412441E8,1.2801555125000002E7,1.6740267826947525E7,3.7627888E7,536.0,0,0,0,0,0,0,0,0,0,0,0,0.08787694914978857,0.009764105461087618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,3348559.0,667.5088014401009,3349031.0,3348087.0,3.1906272666666668E7,9909377.62415543,3.7627888E7,2.0463909E7,No Label
